ปี,อำเภอ,ประเภทผลิตภัณฑ์,จำนวน
2567,เฝ้าไร่,ด้านพืช,0
2567,เฝ้าไร่,ด้านปศุสัตว์,0
2567,เฝ้าไร่,ด้านประมง,0
2567,รัตนวาปี,ด้านพืช,3
2567,รัตนวาปี,ด้านปศุสัตว์,0
2567,รัตนวาปี,ด้านประมง,0
2567,โพธิ์ตาก,ด้านพืช,3
2567,โพธิ์ตาก,ด้านปศุสัตว์,0
2567,โพธิ์ตาก,ด้านประมง,0
2568,เมืองหนองคาย,ด้านพืช,21
2568,เมืองหนองคาย,ด้านปศุสัตว์,2
2568,เมืองหนองคาย,ด้านประมง,2
2568,ท่าบ่อ,ด้านพืช,0
2568,ท่าบ่อ,ด้านปศุสัตว์,2
2568,ท่าบ่อ,ด้านประมง,2
2568,โพนพิสัย,ด้านพืช,1
2568,โพนพิสัย,ด้านปศุสัตว์,0
2568,โพนพิสัย,ด้านประมง,2
2568,ศรีเชียงใหม่,ด้านพืช,4
2568,ศรีเชียงใหม่,ด้านปศุสัตว์,0
2568,ศรีเชียงใหม่,ด้านประมง,1
2568,สังคม,ด้านพืช,7
2568,สังคม,ด้านปศุสัตว์,0
2568,สังคม,ด้านประมง,0
2568,สระใคร,ด้านพืช,12
2568,สระใคร,ด้านปศุสัตว์,2
2568,สระใคร,ด้านประมง,2
2568,เฝ้าไร่,ด้านพืช,0
2568,เฝ้าไร่,ด้านปศุสัตว์,0
2568,เฝ้าไร่,ด้านประมง,0
2568,รัตนวาปี,ด้านพืช,3
2568,รัตนวาปี,ด้านปศุสัตว์,0
2568,รัตนวาปี,ด้านประมง,0
2568,โพธิ์ตาก,ด้านพืช,3
2568,โพธิ์ตาก,ด้านปศุสัตว์,0
2568,โพธิ์ตาก,ด้านประมง,0
,,,
,,,
