province_id,province_th,province_en,region,centroid_lat,centroid_lng,total_social_cases,emergency_cases,avg_days_to_close_case,welfare_payment_count,total_welfare_approved_amount,total_welfare_paid_amount,avg_payment_days,newborn_grant_count,total_newborn_grant_paid,avg_household_income_per_capita,avg_household_members,total_combined_social_aid,total_culture_events,total_event_days,has_cultural_events
29,ขอนแก่น,Khon Kaen,ภาคตะวันออกเฉียงเหนือ,16.4419,102.836,13,5,21.5,8,45000,29500,10.1,21,15000,6309.5,3.5,44500,0,0.0,0
30,อุดรธานี,Udon Thani,ภาคตะวันออกเฉียงเหนือ,17.4157,102.7872,9,3,24.0,10,72000,39500,10.8,16,10200,9390.6,4.4,49700,0,0.0,0
31,เลย,Loei,ภาคตะวันออกเฉียงเหนือ,17.486,101.7223,0,0,,0,0,0,,0,0,,,0,2,4.0,1
32,หนองคาย,Nong Khai,ภาคตะวันออกเฉียงเหนือ,17.8783,102.742,0,0,,0,0,0,,0,0,,,0,0,0.0,0
33,มหาสารคาม,Maha Sarakham,ภาคตะวันออกเฉียงเหนือ,16.1851,103.3007,12,4,22.9,7,34500,23000,10.7,11,8400,11295.5,5.1,31400,1,0.4,1
34,ร้อยเอ็ด,Roi Et,ภาคตะวันออกเฉียงเหนือ,16.0538,103.652,8,2,19.0,10,81500,46500,8.8,5,3000,11850.0,5.8,49500,5,3.4,1
35,กาฬสินธุ์,Kalasin,ภาคตะวันออกเฉียงเหนือ,16.4322,103.5061,7,1,21.9,12,66500,35000,10.4,0,0,,,35000,1,2.3,1
36,สกลนคร,Sakon Nakhon,ภาคตะวันออกเฉียงเหนือ,17.1612,104.1486,14,7,22.6,11,81000,50000,11.0,12,9600,9854.2,5.2,59600,0,0.0,0
37,นครพนม,Nakhon Phanom,ภาคตะวันออกเฉียงเหนือ,17.3976,104.7816,0,0,,0,0,0,,0,0,,,0,0,0.0,0
38,มุกดาหาร,Mukdahan,ภาคตะวันออกเฉียงเหนือ,16.5436,104.7235,0,0,,0,0,0,,0,0,,,0,2,0.5,1
39,เชียงใหม่,Chiang Mai,ภาคเหนือ,18.7883,98.9853,14,5,17.9,14,104500,58500,14.4,8,7200,7562.5,4.5,65700,8,6.2,1
40,ลำพูน,Lamphun,ภาคเหนือ,18.5745,99.0087,10,1,27.3,8,78500,29500,11.2,7,5400,8821.4,4.9,34900,2,70.9,1
41,ลำปาง,Lampang,ภาคเหนือ,18.2888,99.4928,12,4,24.9,9,53000,30000,11.1,7,4200,6750.0,4.7,34200,0,0.0,0
42,อุตรดิตถ์,Uttaradit,ภาคเหนือ,17.6201,100.0993,11,3,22.5,11,74500,51500,11.7,12,7800,9354.2,2.8,59300,3,9.4,1
43,แพร่,Phrae,ภาคเหนือ,18.1446,100.141,8,3,23.2,6,29500,25000,13.7,6,4200,5500.0,3.8,29200,0,0.0,0
44,น่าน,Nan,ภาคเหนือ,18.7838,100.7782,9,2,25.1,7,53500,23500,13.4,3,1800,13250.0,3.0,25300,2,9.7,1
45,พะเยา,Phayao,ภาคเหนือ,19.167,99.9022,0,0,,0,0,0,,0,0,,,0,0,0.0,0
46,เชียงราย,Chiang Rai,ภาคเหนือ,19.9072,99.8325,11,1,27.9,14,91000,53000,8.6,14,11400,7410.7,4.8,64400,3,15.2,1
47,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,19.302,97.9654,0,0,,0,0,0,,0,0,,,0,12,10.3,1
48,นครสวรรค์,Nakhon Sawan,ภาคกลาง,15.6987,100.1199,8,2,27.6,8,53000,34000,11.1,15,10200,7966.7,4.5,44200,3,3.6,1
49,อุทัยธานี,Uthai Thani,ภาคกลาง,15.3835,100.0246,0,0,,0,0,0,,0,0,,,0,3,3.0,1
50,กำแพงเพชร,Kamphaeng Phet,ภาคกลาง,16.4828,99.5227,0,0,,0,0,0,,0,0,,,0,2,15.7,1
51,ตาก,Tak,ภาคเหนือ,16.884,99.1258,0,0,,0,0,0,,0,0,,,0,0,0.0,0
52,สุโขทัย,Sukhothai,ภาคกลาง,17.0078,99.8235,0,0,,0,0,0,,0,0,,,0,0,0.0,0
53,พิษณุโลก,Phitsanulok,ภาคกลาง,16.8211,100.2659,11,4,24.5,13,80000,46500,12.3,9,5400,7277.8,4.8,51900,0,0.0,0
54,พิจิตร,Phichit,ภาคกลาง,16.4429,100.3488,11,7,17.5,10,86000,43000,10.2,12,8400,7000.0,5.0,51400,5,13.8,1
55,เพชรบูรณ์,Phetchabun,ภาคกลาง,16.419,101.1567,0,0,,0,0,0,,0,0,,,0,1,0.1,1
56,ราชบุรี,Ratchaburi,ภาคตะวันตก,13.5283,99.8134,13,7,23.3,12,78000,44000,9.7,2,1200,14500.0,3.0,45200,0,0.0,0
57,กาญจนบุรี,Kanchanaburi,ภาคตะวันตก,14.0228,99.5328,0,0,,0,0,0,,0,0,,,0,17,380.9,1
58,สุพรรณบุรี,Suphan Buri,ภาคกลาง,14.4745,100.1177,14,6,19.8,15,133500,67000,12.1,8,4800,9218.8,3.6,71800,10,17.8,1
59,นครปฐม,Nakhon Pathom,ภาคกลาง,13.8196,100.0601,8,1,31.2,7,50000,36500,11.3,17,13800,6470.6,5.2,50300,2,10.2,1
60,สมุทรสาคร,Samut Sakhon,ภาคกลาง,13.5475,100.2744,11,2,25.0,9,63500,47500,9.4,10,7200,8800.0,3.9,54700,3,5.0,1
61,สมุทรสงคราม,Samut Songkhram,ภาคกลาง,13.4098,99.9999,0,0,,0,0,0,,0,0,,,0,1,0.1,1
62,เพชรบุรี,Phetchaburi,ภาคตะวันตก,13.1114,99.9398,0,0,,0,0,0,,0,0,,,0,4,6.8,1
63,ประจวบคีรีขันธ์,Prachuap Khiri Khan,ภาคตะวันตก,11.8124,99.7973,0,0,,0,0,0,,0,0,,,0,6,13.0,1
64,นครศรีธรรมราช,Nakhon Si Thammarat,ภาคใต้,8.4325,99.9631,5,2,22.6,4,20000,10000,13.2,12,9600,8625.0,4.8,19600,0,0.0,0
65,กระบี่,Krabi,ภาคใต้,8.0863,98.9063,15,2,22.6,14,69500,40500,12.9,11,8400,7954.5,4.4,48900,6,13.4,1
66,พังงา,Phangnga,ภาคใต้,8.4501,98.5255,0,0,,0,0,0,,0,0,,,0,0,0.0,0
67,ภูเก็ต,Phuket,ภาคใต้,7.8804,98.3923,5,3,15.6,3,10500,8000,19.0,7,4800,5428.6,5.3,12800,4,1.0,1
68,สุราษฎร์ธานี,Surat Thani,ภาคใต้,9.1382,99.3215,11,7,16.4,16,77000,43000,12.2,12,9000,7541.7,4.4,52000,0,0.0,0
69,ระนอง,Ranong,ภาคใต้,9.9529,98.6348,0,0,,0,0,0,,0,0,,,0,0,0.0,0
70,ชุมพร,Chumphon,ภาคใต้,10.493,99.18,0,0,,0,0,0,,0,0,,,0,4,15.3,1
71,สงขลา,Songkhla,ภาคใต้,7.1898,100.5954,18,3,24.1,16,94500,57000,10.8,8,5400,6500.0,3.6,62400,2,11.7,1
72,สตูล,Satun,ภาคใต้,6.6238,100.0674,0,0,,0,0,0,,0,0,,,0,0,0.0,0
73,ตรัง,Trang,ภาคใต้,7.5594,99.6114,11,4,26.8,11,73500,39500,13.2,12,7800,9270.8,5.0,47300,0,0.0,0
74,พัทลุง,Phatthalung,ภาคใต้,7.6167,100.074,5,2,20.6,1,13500,13500,17.0,10,7200,11725.0,4.7,20700,0,0.0,0
75,ปัตตานี,Pattani,ภาคใต้,6.8677,101.2501,4,1,25.5,3,11000,11000,9.3,12,7200,7562.5,2.5,18200,0,0.0,0
76,ยะลา,Yala,ภาคใต้,6.5411,101.2804,7,2,26.4,4,37000,18000,11.2,13,9000,8365.4,4.2,27000,12,26.3,1
77,นราธิวาส,Narathiwat,ภาคใต้,6.4255,101.8253,12,2,27.4,15,82000,45500,11.1,15,9600,7766.7,4.6,55100,1,25.3,1
