ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
50.0,Secondary pH standard (Tetraborate),9.17 - 9.20 pH,0.007 pH,"8,000/set  (5 x 100 mL)",Differential cell method,12032-20103
51.0,Secondary pH standard (Tetraborate),9.17 - 9.20 pH,0.007 pH,"1,700/100 mL",Differential cell method,12032-20107
52.0,Secondary pH standard (Carbonate),9.99 - 10.02 pH,0.006 pH,"8,000/set  (5 x 100 mL)",Differential cell method,12032-20104
53.0,Secondary pH standard (Carbonate),9.99 - 10.02 pH,0.006 pH,"1,700/100 mL",Differential cell method,12032-20108
54.0,Primary Phthalate buffer solution,3.990 - 4.020 pH,0.005 pH,"15,000/500 mL",,12031-20109
55.0,Primary Phosphate buffer solution ,6.85 - 6.88 pH,0.005 pH,"15,000/500 mL",,12031-20110
56.0,Primary Borate buffer solution,9.16 - 9.20 pH,0.005 pH,"15,000/500 mL",,12031-20111
57.0,Working pH standard (Phthalate) ,3.99 - 4.02 pH,0.01 pH,"1,000/500 mL",,12031-20121
58.0,Working pH standard (Equipmolal phosphate),6.85 - 6.88 pH,0.01 pH,"1,000/500 mL",,12031-20122
59.0,Working pH standard (Tetraborate),9.17 - 9.20 pH,0.01 pH,"1,000/500 mL",,12031-20123
60.0,Primary Carbonate buffer solution,9.990 - 10.020 pH,0.006 pH,"15,000/500 mL",,12031-20120
61.0,Working pH standard (Carbonate),9.99 - 10.02 pH,0.01 pH,"1,000/500 mL",,12031-20124
62.0,Working pH standard (0.01 N Hydrochloric acid),1.08 - 1.12 pH,0.02 pH,"1,000/500 mL",,12031-20126
63.0,Working pH standard (Tetroxalate),1.66 - 1.70 pH,0.01 pH,"1,000/500 mL",,12031-20127
64.0,Working pH standard (phosphate),6.99 - 7.03 pH,0.01 pH,"1,000/500 mL",,12031-20125
65.0,Working pH standard (alkaline phosphate),11.70 - 11.74 pH,0.01 pH,"1,000/500 mL",,12031-20128
66.0,Potassium Dichromate Solution 1 concentration,"20, 40, 60, 80 and 100 mg/kg (each set choose from the concentrations above)",0.01 A,"22,600/set",,12031-20205
67.0,Potassium Dichromate Solution  2 concentrations,"20, 40, 60, 80 and 100 mg/kg (each set choose from the concentrations above)",0.01 A,"27,700/set",,12031-20204
68.0,Potassium Dichromate Solution 3 concentrations ,"20, 40, 60, 80 and 100 mg/kg (each set choose from the concentrations above)",0.01 A,"32,800/set",,12031-20203
69.0,Potassium Dichromate Solution 4 concentrations,"20, 40, 60, 80 and 100 mg/kg (each set choose from the concentrations above)",0.01 A,"38,000/set",,12031-20202
70.0,Potassium Dichromate Solution 5 concentration,"20, 40, 60, 80 and 100 mg/kg (each set choose from the concentrations above)",0.01 A,"43,000/set",,12031-20201
71.0,Potassium Iodide Standard Solution,10 g/L,0.5 nm ,"20,000/set",,12031-20206
72.0,Zinc standard solution,"10,000 ppm",1% relative,"1,250/100 ml",,12031-20301
73.0,Cadmium standard solution ,"10,000 ppm",1% relative,"1,250/100 ml",,12031-20302
74.0,Chloride standard solution ,100 ppm,1% relative,"1,250/100 ml",,12031-20401
75.0,Sodium standard solution ,100 ppm,1% relative,"1,250/100 ml",,12031-20501
76.0,Arsenic standard solution ,1000 ppm,0.2% rlative,"2,000/100 ml",,12031-20303
77.0,pH of ethanol ,6.0 - 8.0 pH,0.5 pH,"2,500 / bottle",,12031-20701
78.0,electrolytic conductivity of ethanol ,0.1-1 uS/cm,5%relative,"2,500/bottle",capacity 50 ml,12031-20702
79.0,Water content in Ethanol,0.1 - 1.0 mg/g,5% relative,"3,000/5 ampoule",,12031-20703
80.0,Secondary electrolytic conductivity solution (0.1 mol/l KCl) ,12.88 mS/cm,0.5% relative,"5,000/250 ml",,12031-20601
81.0,Secondary electrolytic conductivity solution (0.01mol/l KCl) ,1413 mS/cm,0.5% relative,"5,000/250 ml",,12031-20602
82.0,Secondary electrolytic conductivity solution (0.001mol/l KCl) ,147 mS/cm,0.8% relative,"5,000/250 ml",,12031–20603
83.0,Secondary electrolytic conductivity solutionn (Nominal 84 µS/cm),84 mS/cm,1% relative,"5,000/250 ml",,12031–20604
84.0,Secondary electrolytic conductivity standard solution (nominall 50 mS/cm),50 mS/cm,1% relative,"5,000/250 ml",,12031-20605
85.0,Secondary electrolytic conductivity solution (nominal 25 µS/cm),25 µS/cm,1% relative,"5,000 /250 ml",,12031-20608
86.0,Secondary electrolytic conductivity solution (nominal 10 mS/cm),10 mS/cm,2.2 % relative,"2,500/125 ml",,12031-20612
87.0,Secondary electrolytic conductivity solution  (1 mol/L KCl) ,111.3 mS/cm,0.5 %relative,"5,000/250 ml",,12031-20613
88.0,Working electrolytic conductivity standard solution (1 mol/L KCl),111.3 mS/cm,0.7% relative,"3,000/250 mL",,12031-20616
89.0,Working electrolytic conductivity solution (0.1 mol/l KCl) ,12.88 mS/cm,1.5 %relative,"3,000/250 ml",,12031-20606
90.0,Working electrolytic conductivity solution (0.01 mol/l KCl) ,1413 mS/cm,1.5 %relative,"3,000/250 ml",,12031-20607
91.0,working electrolytic conductivity standard solution (0.001 mol/l KCl),147 µS/cm,1.5% relative,"2,500/ 250 ml",,12031-20609
92.0,working electrolytic conductivity standard solution (Nominal 84 µS/cm),84 µS/cm,2% relative,"2,500/ 250 ml",,12031-20610
93.0,Working electrolytic conductivity standard solution (Nominal 50 µS/cm),50 µS/cm,2% relative,"2,500/ 250 ml",,12031-20611
94.0,Working electrolytic conductivity standard solution (nominal 25 µS/cm) ,25 mS/cm,2% relative,"2,500/250 ml",,12031-20614
95.0,Secondary electrolytic conductivity solution (Nominal 5 µS/cm),5 µS/cm,2.5% relative ,"2,500/250 ml",,12031-20615
96.0,Working electrolytic conductivity standard solution (Nominal 10 uS/cm ),10  mS/cm,5% relative,"1,300/125 mL",,12031-20617
97.0,Nitrate standard solution,100 mg/kg,1% relative,"1,500 / bottle",,12031-20402
98.0,Fluoride standard solution,1000 mg/kg,1% relative,"1,500 / bottle",,12031-20403
99.0,sulfate standard solution,1000 mg/kg,3%relative,"1,250/100 mL",,12031-20404
100.0,Bromide standard solution,"900-1,200 mg/kg",5% relative,"1,250/125 mL",,12031-20405
101.0,Magnesium standard solution,"900-1,200 mg/kg",3% relative,"1,250/125 mL",,12031-20502
102.0,5% Brix Sucrose Standard Solution ,"5.00 % Brix, 1.34026 nD","0.01 % Brix, 0.00007 nD","3,600/15 mL",,12012-20201
103.0,10% Brix Sucrose Standard Solution,"10.00 % Brix, 1.34782 nD","0.01 % Brix, 0.00007 nD","3,600/15 mL",,12011-20202
104.0,20% Brix Sucrose Standard Solution,"20.00 % Brix, 1.36384 nD","0.01 % Brix, 0.00007 nD","3,600/15 mL",,12011-20203
105.0,30% Brix Sucrose Standard Solution ,"30.00 % Brix, 1.38115 nD","0.01 % Brix, 0.00007 nD","3,600/15 mL",,12011-20204
106.0,50% Brix Sucrose Standard Solution,"50.00 % Brix, 1.42006 nD","0.01 % Brix, 0.00008 nD","3,600/15 mL",,12011-20205
107.0,60% Brix Sucrose Standard Solution ,"60.00 % Brix, 1.44190 nD","0.01 % Brix, 0.00007 nD","3,600/15 mL",,12011-20206
108.0,Benzene in methanol ,"1,000 mg/L",1.4 % relative,"4,750/8 mL",,12011-20207
109.0,Ethylbenzene in methanol ,"1,000 mg/L",1.1 % relative,"4,750/8 mL",,12011-20208
110.0,Toluene in methanol ,"1,000 mg/L",1.4 % relative,"4,750/8 mL",,12011-20209
111.0,o-xylene in methanol ,"1,000 mg/L",2.2 % relative,"4,750/8 mL",,12011-20210
112.0,m-xylene in methanol ,"1,000 mg/L",1.0 % relative,"4,750/8 mL",,12011-20211
113.0,p-xylene in methanol ,"1,000 mg/L",1.3% relative,"4,750/8 mL",,12011-20212
114.0,Organochlorine Pesticide Mix set 1,100 mg/kg,3% relative,"11,600/1.1 mL",,12011-20213
115.0,Organophosphate Pesticide Mix set 1,100 mg/kg,5% relative,"7,700/1.1 mL",,12011-20214
116.0,Organophosphate Pesticide Mix set 2,100 mg/kg,3% relative,"13,300/1.1 mL",,12011-20215
117.0,Acaricide Pesticide Mix set 1,100 mg/kg,3% relative,"7,000/1.1 mL",,12011-20216
118.0,Carbamate Pesticide Mix set 1,100 mg/kg,3% relative,"8,100/1.1 mL",,12011-20217
119.0,Pyrethroid Pesticide Mix set 1 ,100 mg/kg,2 % relative ,"11,000/1.1 mL",,12011-20218
120.0,Organophosphate Pesticide Mix set 3,100 mg/kg,4% relative,"14,500/1.1 mL",,12011-20219
121.0,Organophosphate Pesticide Mix set 4,100 mg/kg,4% relative,"11,000/1.1 mL",,12011-20220
122.0,Organochlorine Pesticide Mix set 2,100 mg/kg,2% relative,"16,000/1.1 mL",,12011-20221
123.0,Pyrethroid Pesticide Mix set 2,100 mg/kg,3 % relative ,"10,000/1.1 mL",,12011-20222
124.0,Organophosphate Pesticide Mix set 5,100 mg/kg,3% relative,"12,100/1.1 mL",,12011-20223
125.0,Acaricide Pesticide Mix set 2,100 mg/kg,2 % relative ,"14,000/1.1 mL",,12011-20224
126.0,0.01% Brix Sucrose Standard Solution ,0.01%,2.0% relative,"3,700/ 15mL",,12011-20226
127.0,0.02% Brix Sucrose Standard Solution,0.02%,1.4% relative,"3,700/ 15mL",,12011-20227
128.0,0.03% Brix Sucrose Standard Solution ,0.03%,0.5% relative,"3,700/ 15mL",,12011-20228
129.0,0.04% Brix Sucrose Standard Solution,0.04%,0.6% relative,"3,700/ 15mL",,12011-20229
130.0,0.05% Brix Sucrose Standard Solution ,0.05%,0.8% relative,"3,700/ 15mL",,12011-20230
131.0,40% Brix Sucrose Standard Solution ,"40.00% Brix, 1.39986 nD","0.01 %Brix, 0.00007 nD","3,600/ 15mL",,12011-20231
132.0,Sucrose Standard for Optical Measurements,"Purity  997.4 mg/g

Cell length 100 mm
Polarization at 546 nm: 99.96 (°Z)  
Optical rotation at 546 nm: 20.38 (degrees)
Specific rotation at 546 nm: 78.34
Polarization at 589 nm: 99.95 (°Z)
Optical rotation at 589 nm:17.31 (degrees)
Specific rotation at 589 nm: 66.52

Cell length 200 mm   
Polarization at 546 nm: 99.94 (°Z)
Optical rotation at 546: 40.75 (degrees)
Specific rotation at 546: 99.94
Polarization at 589 nm: 99.89 (°Z)
Optical rotation at 589 nm: 34.59 (degrees)
Specific rotation at 589 nm: 66.47","1.1 mg/g

0.62 (ºZ)
0.13 (degrees)
0.49


0.62 (ºZ)
0.13 (degrees)
0.49
0.60 (ºZ)
0.11 (degrees)
0.43


0.62 (ºZ)
0.25 (degrees)
0.49
0.61 (ºZ)
0.21 (degrees)
0.42","6,000/bag",,12011-20101
133.0,Ethanol-Water Standard Solution (0.45 mg/g),0.45 mg/g,1% Relative,"1,000/bottle",,12011-20233
134.0,Ethanol-Water Standard Solution (0.55 mg/g),0.55 mg/g,1% Relative,"1,000/bottle",,12011-20234
135.0,Ethanol-Water Standard Solution (1.0 mg/g),1.00 mg/g,1% Relative,"1,000/bottle",,12011-20235
136.0,Aflatoxin B1 Standard Solution,2.74 µg/g,4% relative,"3,000/bottle",,12011-20236
137.0,Aflatoxin B2 Standard Solution,2.72 µg/g,8% relative,"3,000/bottle",,12011-20237
138.0,Aflatoxin G1 Standard Solution,2.87 ?g/g,6 % relative,"3,000/bottle",,12011-20238
139.0,Aflatoxin G2 Standard Solution,2.69 ?g/g,7 % relative,"3,000/bottle",,12011-20239
140.0,Sodium Chloride Standard Solution,"0.30  g/100g, 
5.84 g/100 g,
12.50 g/100 g",2% relative,"1,500/bottle",,12011-20240
141.0,High purity pinostrobin standard ,999.5 mg/g ,1% relative,"10,000/bottle ",50 mg,12011-20241
142.0,Pesticide Standard Solution (Custom-made),100mg/kg,2.5% relative,"10,000-60,000/5 ampoules x1mL",,12011-20242
143.0,Sucrose Standard Solution (Custom-made),5-60% brix,0.01% brix,"3,700/15 mL",,12011-20243
144.0,Ethanol standard ,939.9 mg/g,0.6 % relative,"1,000/ampoule",15 mL,12011-20244
145.0,Impurities in ethanol,"water content: 59.81 mg/g
","1% relative

",800/bottle,150 mL,12011-20245
146.0,BTEX mixture in Methanol,Benzene: 977 ug/g,6% relative,"8,000/ ampoule",,12011-20246
147.0,High purity andrographolide standard ,994.0 mg/g,0.5% relative,"5,000/bottle ",50 mg,12011-20247
148.0,High purity panduratin A standard ,991.8 mg/g,0.6% relative,"20,000/bottle ",10 mg,12011-20248
149.0,High purity alpha-mangostin standard ,920.7 mg/g,0.8 %relative,"15,000/bottle",50 mg,12011-20254
150.0,High purity mitragynine standard ,980.4 mg/g,0.4 %relative,"10,000/bottle",10 mg,12011-20255
151.0,High purity [6]-gingerol standard ,972.8 mg/g,0.9 %relative,"5,000/bottle",25 mg,12011-20256
152.0,Platinum electrode for pH measurement,,,,For differential cell and Harned cell method,12031-20801
153.0,Pure pork meat,1000 g/kg,,3500,,12042-20102
154.0,Pure beef meat,>998.8 g/kg,,3500,,12042-20103
155.0,Blank soybean GTS 40-3-2 matrix,<0.2 g/kg,,3500,,12042-20106
156.0,1% Pork in beef matrix,10 g/kg,2.20 g/kg,3500,,12042-20108
157.0,10% Pork in beef matrix,100 g/kg,11 g/kg,3500,,12042-20109
158.0,Blank meatball matrix,1 000g/kg,,3500,,12042-20111
159.0,0.1% Pork in beef matrix,1 g/kg,0.33 g/kg,3500,,12042-20112
160.0,1% beef in feed matrix,10 g/kg,0.1 g/kg,3500,,12042-20113
161.0,1 % Pork in meatball matrix,10.1 g/kg,1.1  g/kg,3500,,12042-20118
162.0,0.1% (w/w) beef in feed,1 g/kg,0.15 g/kg,3500,,12042-20117
163.0,Pure pork meat (processed food) ,"1,000 g/kg",,"3,500/sample",,12042-20121
164.0,Pure Beef meat (processed food),"1,000 g/kg",,"3,500/sample",,12042-20122
165.0,1% (w/w) pork in beef matrix (process food) ,10g/kg,2g/kg,"3,500/sample",,12042-20123
166.0,7% (w/w) pork in beef matrix (process food) ,70g/kg,5g/kg,"3,500/sample",,12042-20124
167.0,Pure chicken meat,"1,000 g/kg",,3500,,12042-20131
168.0,Pure Goat meat,"1,000 g/kg",,3500,,12042-20132
169.0,"Curcuminoids in turmeric powder:
Curcumin
DMC
BDMC","30.2 mg/g
11.8 mg/g
11.6 mg/g","6.4 mg/g
0.6 mg/g
2.0 mg/g",4000,,12042-20133
170.0,Pure sheep meat,"1,000 g/kg",,3500,,12042-20137
171.0,0.1% (w/w) Pork in plant based,1 g/kg,0.05 g/kg,3500,,12042-20138
172.0,0.1% (w/w) Beef in plant based,1 g/kg,0.06 g/kg,3500,,12042-20139
173.0,0.1% (w/w) Chicken in plant based,1 g/kg,0.06 g/kg,3500,,12042-20140
174.0,Trace and Essential Elements in Prawn »ÃÔÁÒ³¸ÒµØã¹¡Øé§,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"2,000/ bottle",5 g/bottle,12022-20002
175.0,Elements and Arsenic Species in White Rice Flour,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"4,000/bottle",25 g/bottle,12023-20007
176.0,"Elements, AB and MeHg in Tuna Tissue",see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"5,000/bottle",20 g/bottle,12022-20010
177.0,Elements in Drinking Water,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"5,500/bottle",100 ml/bottle,12022-20011
178.0,Elements in Green Chiretta (Andrographis Paniculata) Powder,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,,"6,000/bottle",25 g/bottle,12022-20012
179.0,Elements in Turmeric powder,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,"6,000/bottle",30 g/bottle,12022-20014
180.0,Elements in Animal Feed,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕÂ´ã¹µÑÇÍÂèÒ§ãº Certificate,"3,000/bottle",10 g/bottle,12022-20016
181.0,Total malachite green in shrimp ,18.35 µg/kg,4.00 % relative,"5,000/ bottle",,12011-20601
182.0,Aflatoxins in peanut butter ,2-10 ng/g ,"8-10% relative
","4,500 /bottle",30 g/bottle,12011-20602
183.0,Melamine in cracker,1.56 mg/kg,9% relative,"3,000/bottle",,12011-20603
184.0,Clenbuterol in feed,71.9 µg/kg,5.43 % relative,"2,850/bottle",,12011-20901
185.0,Salbutamol in feed,79.5 µg/kg,14.21 % relative,"2,850/bottle ",,12011-20902
186.0,Melamine in Milk Powder,1.03 mg/kg,16% relative,"3,000/20g bottle",,12011-20604
187.0,Fatty Acid in Cooking Oil ,"Palmitic acid 106 mg/g,11.4%   Stearic acid 33 mg/g, 4.1%       Oleic acid 231 mg/g, 25.7%      Linoleic acid 493 mg/g, 53.4%   Linolenic acid 46 mg/g, 5.3% ",7-10% relative,6000/bottle,,12011-20605
188.0,Organophosphates pesticides in rice flour,"Diazinon 15 ng/g
Chlopyrifos  18 ng/g",6-8% relative,4000/bottle,30g/bottle,12011-60606
189.0,Aflatoxin in rice flour,"AFB1: 11.5 ng/g
AFB2: 8.7ng/g
AFG1: 7.5 ng/g
AFG2: 3.0 ng/g","AFB1: 1.5 ng/g
AFB2: 0.8 ng/g
AFG1: 1.0 ng/g
AFG2: 0.4 ng/g","4,500baht/pouch",80g/pouch,12011-20609
190.0,Chloramphenicol in freeze dried prawn,0.74 ng/g,12% relative,"4,000 baht/bottle",,1211-20610
191.0,Andrographolide in green chiretta ,18.7 mg/g,7% relative,"4,000 baht/bottle",,12011-20611
192.0,THC and CBD in hemp oil standard (CRM),"THC: 1.47 mg/g
CBD: 53 mg/g","THC:30 %relative
CBD: 17 %relative","8,000/bottle",5 ml,12011-20614
193.0,Trace Elements in Water »ÃÔÁÒ³¸ÒµØã¹¹éÓ,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"2,000/bottle",100 mL/bottle,12022-20008
194.0,Mercury in Water »ÃÔÁÒ³»ÃÍ·ã¹¹éÓ,see certificate â»Ã´´ÙÃÒÂÅÐàÍÕ´Âã¹µÑÇÍÂèÒ§ãº Certificate,,"1,700/bottle",10 mL/bottle,12022-20009
195.0,Chloride in Ethanol,1.51 mg/kg,6% relative,"1,800/250 mL",250 mL,12031-20704
196.0,Oxygen in Nitrogen,5-30 cmol/mol,0.25 %relative,"29,000/refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12051-20101
197.0,Oxygen in Nitrogen,5-30 cmol/mol,0.5 %relative,"18,000/refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12051-20103
198.0,Oxygen in Nitrogen ,100 µmol/mol -5 cmol/mol,1.0 %relative,"25,400/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-20109
199.0,Oxygen in Nitrogen,10 - 100 µmol/mol,2.0 %relative,"25,400/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12051-20111
200.0,Carbon Dioxide in Nitrogen,0.005-20 cmol/mol,0.5 %relative,"30,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-20201
201.0,Carbon Dioxide in Nitrogen,0.005-20 cmol/mol,1.0 %relative,"20,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20203
202.0,Methane in Nitrogen,0.005-50 cmol/mol,0.5%relative,"30,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20301
203.0,Methane in Nitrogen,0.005-50 cmol/mol,1.0%relative,"20,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20303
204.0,Methane in Air,0.05-2.5 cmol/mol,1.0 %relative,"24,100/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-20305
205.0,Carbon Monoxide in Air,50 - 65000 µmol/mol,1.0 %relative,"24,100/refill per 1 cylinder ","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12050-20401
206.0,Carbon Monoxide in Nitrogen ,5 - 200 000 µmol/mol,1.0 - 2.0 %relative,"20,000/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar 
CGA Valve: 580",12050-20403
207.0,Sulfur Dioxide in Nitrogen,30 -5 000 µmol/mol,1.0% relative,"31,000/refill per cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 660",12051-20501
208.0,Propane in Nitrogen ,0.001- 1 cmol/mol,0.7% relative,"31,000/refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12051-20601
