ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
,"Gas Differential Pressure at High Static Line ressure 
(not higher than 40 MPa), DP",350 kPa maximum differential pressure,"3.5 x 10-5 x DP, but not less than 2.9 Pa","16,250/sensor head",Price per 1 range of differential pressure and  1 range of high static line pressure,10060 - 10701
,"Hydraulic Pressure Measuring Instruments (absolute pressure, Pabs)","0,1 MPa to 200 MPa",> 6x10-3 x Pabs,"6,250/range",,10060 - 10801
,"Hydraulic Pressure Measuring Instruments (absolute pressure, Pabs)",,6x10-3 x Pabs to 1x10-3 x Pabs,"8,750/range",,10060 - 10802
,"Hydraulic Pressure Measuring Instruments (absolute pressure, Pabs)",,< 1 x 10-3 x Pabs,"11,250/range",,10060 - 10803
,"Hydraulic Pressure Measuring Instruments (absolute pressure, Pabs)",> 200 MPa to 500 MPa,> 1 x 10-3 x Pabs,"10,000/range",,10060 - 10804
,"Hydraulic Pressure Measuring Instruments (absolute pressure, Pabs)",,< 1x10-3 x Pabs,"12,500/range",,10060 - 10805
,"Blood Pressure (Static Mode)(gauge pressure, Pe)",(0 kPa to 40 kPa)(0 mm Hg to 300 mm Hg),Not smaller than 0.13 kPa  ( 1 mm Hg)   ,"1,875/range",To include leak check,10060 - 10902
,Absolute Gravity,,,120000,for each additional location,10060 - 30101
,Absolute Gravity,9.75 m/s2 to 9.85 m/s2 ,"Not smaller than 10 µGal
(0.01 ppm)",240000,for the first measurement location,10060 - 30101
,Local Gravity,9.75 m/s2 to 9.85 m/s2 ,"Not smaller than 180 µGal
(0.18 ppm)",40000,Using relative method,10060 - 30102
,"Gas Pressure Measuring Instruments (on-site)        -  (differential gauge pressure,Pe)",0.1 kPa to 130 kPa ,2.6E-4Pe but  not less than 0.03 kPa,"6,250 baht/range",Differential against ambient pressure,10060 - 30103
,"Gas Pressure Measuring Instruments (on-site)       -  (absolute pressure, Pabs)",10 kPa to 700 kPa ,2.0E-4Pabs but  not less than 0.03 kPa,"6,250 baht/range",,10060 - 30103
,Pressure Measuring Device,0 to 3500 kPa," 0.01%rdg but  not less than 0.1 kPa
","6,500/range

",Media: Water,"10060-10901

"
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,Smaller than 0.2 mbar,"11,250/range",,10061 - 10319
,"Vacuum Gauges (absolute pressure : pirani gauge, thermal conductivity gauge)",105 Pa to 10-1 Pa,0.3% rdg to 1% rdg,"7,040/sensor head",Calibration 10 points minimum,10070 - 10101
,Vacuum Gauges (absolute pressure : capacitance diaphragm gauge),105 Pa to 10-1 Pa,0.2% rdg to 0.45% rdg,"12,670/sensor head","Calibration 3 decades for the head range (1000, 100,10, 1) torr Calibration 2 decades for the head range 0.1 torr",10070 - 10201
,"Vacuum Gauges (absolute pressure : hot cathode ion gauge, cold cathode ion gauge)",10-1 Pa to 10-5 Pa,0.5% rdg to 6% rdg,"11,090/for first decade 
+2,250 for next decade",,10070 - 10301
,Vacuum Gauge (absolute pressure : spinning rotor gauge),10 Pa to 10-3 Pa,0.6% rdg to 4.5% rdg,to be determined,,10070 - 10401
,Additional cost for electrical calibration (which the accuracy is not better than +/-0.01% rdg),,,"2,250/item",,10070 - 10501
,Adjustment charge of pressure and vacuum devices for permanent laboratory calibration,,,50% of the calibration cost of each range,,10070 - 10502
,Measurement audit report,,,"1,000 Baht/report
+ 1,000 Bath/only for artifact provided
+ Calibration fee",,10070 - 10503
,"Vacuum Gauges by Static Expansion Method (absolute pressure : capacitance diaphragm gauge, spinning rotor gauge)",0.13 Pa to 1.3 kPa,0.50% rdg to 0.25% rdg,"26,400/sensor head",,10070 - 10601
,Liquid Flowmeter (Turbine Flowmeter),0.19 L/min to 150* L/min,0.075%**,"13,750/ 5 points",Calibration Fluid : Water,10080 - 10101
,Liquid Flowmeter  (with indicator),0.19 L/min to 150* L/min,0.02,"7,880/ 5 points",Calibration Fluid : Water,10080 - 10102
,Coriolis Flowmeter (Volumetric method),0.2 L/min to 150 L/min,0.00075,"13,750/5 points",Calibration Fluid : Water,10080 - 10103
,"Inter-laboratory comparison on liquid volume flow rate measurement;
Artifact : Coriolis flow meter",25 L/min to 120 L/min,NIMT.MW-L1/2017,"20,333/range 
(N = 3)",Calibration Fluid : Water,10080 - 10105
,"Inter-laboratory comparison on liquid volume flow rate measurement;
Artifact : Coriolis flow meter",25 L/min to 120 L/min,NIMT.MW-L1/2019,"15,750/range
(N = 2)",Calibration Fluid : Water,10080 - 10106
,Inter-laboratory comparison on water flow meter and pressure of infusion pump analyzer,"(20 - 200) mL/h
((0 - 1200) mmHg","0.35%
0.35 mbar","12,552.50/range",Infusion device analyzer,10080 - 10107
,Liquid Flowmeter (Turbine Flowmeter),20 L/min to 1300 L/min,0.00075,"13,750",Calibration Fluid : Water,10080 - 10108
,Ultrasonic flow meter (Clamp-on),20 L/min to 1300 L/min,0.01,"8,750",Calibration Fluid : Water,10080 - 10109
,Gas Flowmeter,0.043 (mg/s) to 500 (mg/s),0.0023,"17,250/range",Calibration Fluid :  Nitrogen,10080 - 10201
,Gas Flowmeter with display in standard flow (molbloc-L),100 cm3/min to 24000 cm3/min,0.0025,"30,000/range","Calibration Gas: Dry Air 
Reference Conditions @ 0°C, 101.325 kPa",10080 - 10202
,(Mass gas flow rate),0.043 (mg/s) to 21545 (mg/s),0.0023,"17,250/range",Calibration Fluid : Dry Air,10080 - 10202
,"Gas Flow rate 
(Gas meter with impluse output)",1 m3/h to 100 m3/h,0.002,"30,000/piece 
(5 points)",Comparison Method,10080 - 10203
,Gas Flowmeter with display in standard flow (molbloc-S),1 m3/h to 65 m3/h,0.0023,"30,000/range","Calibration Gas: Dry Air 
Reference Conditions @ 0°C, 101.325 kPa",10080 - 10204
,Sonic Nozzle at ambient pressure,1 m3/h to 100 m3/h,0.0022,"25,000/range",Calibration Gas: Ambient Air ,10080 - 10205
,"Orifice flow device
(Volumetric method)",(1 to 100) m3/h,0.01,"7,500/piece
(5-7 points)
",Comparison Method,10080 - 10208
,Small Water Flow Meter (Mass Mode),"10 g/h to 50 g/h
 50 g/h to 1000 g/h","0.35%
0.24%","16,875/range","Calibration Fluid : Water
Gravimetric Method",10080 - 10301
,Medium Liquid Flow Meter (Gravimetric Method),0.036 kg/min to 0.32 kg/min,0.003,"12,500/5 points","Calibration Fluid : Water
Gravimetric Method",10080 - 10302
,"Gas Flow rate 
(Gas meter with flow rate output)",1.2 kg/h to 117 kg/h,0.002,"30,000/piece 
(5 points)",Comparison Method,10080 - 10403
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",1 L to 10 L,0.02% to 0.03%,"6,250/piece",Gravimetric Method,10080 - 10501
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",<10 L to 20 L,0.02% to 0.03%,"10,000/piece",Gravimetric Method,10080 - 10502
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",> 2 L to 50 L,0.0009,"8,750 / piece",Gravimetric Method,10080 - 10503
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",> 50 L to 200 L,0.0009,"13,750/piece",Gravimetric Method,10080 - 10504
,Flow speed device,(0.1-40) m/s,0.005,"12,500/5 points+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080 - 10701
,Small Water Flow Meter (Volumetric Mode),"10 mL/h to 50 mL/h
 50 mL/h to 1000 mL/h","0.35%
0.24%","16,875/range","Calibration Fluid : Water
Gravimetric Method",10080-10104
,Volume of Liquid ,(1 to 20) L,0.15%,"6,250",/ piece / range,10080-10505
,Volume of Liquid ,(>20 to 50) L,0.15%,"10,000",/ piece / range,10080-10506
,Volume of Liquid ,(>50 to 100) L,0.15%,"5,000",/ piece / range,10080-10507
,Volume of Liquid ,(>100 to 500) L,0.15%,"6,875",/ piece / range,10080-10508
,Volume of Liquid ,(>500 to 1000) L,0.15%,"10,000",/ piece / range,10080-10509
,Volume of Liquid ,(>1000 to 2000) L,0.15%,"13,750",/ piece / range,10080-10510
,Volume of Liquid ,(>2000 to 3000) L,0.15%,"16,250",/ piece / range,10080-10511
,Volume of Liquid ,(>3000 to 4000) L,0.15%,21250,/ piece / range,10080-10512
,"Ultrasonic Thickness Measurement 
(Thickness calibration block)",(2.54 - 12.70) mm and 100 mm,0.3% of reading,"2,500/5 points
+500/next point",Direct measurement by ultrasonic thickness system,10080-10601
,Laser Doppler Anemometer,2 m/s to 20 m/s,0.004,"30,000/piece","Wind tunnel 
Calibration Fluid : Air",10080-10702
,Wind direction,0° to 360°,0.9°,"12,500/5 points
+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080-10703
,"Air speed anemometers
(Cup and Vane anemometer)",(1-30) m/s,1% of reading,"12,500/15 points
+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080-10704
,Air speed anemometers,(0.1-40) m/s,0.008,"10,000/5 points","Wind tunnel 
Calibration Fluid : Air",10080-10705
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range","0 degree C, 101.325 kPa",10081 - 10101
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range",Reference Conditions @,10081 - 10101
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range",Calibration Fluid :  Nitrogen,10081 - 10101
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range","0 degree C, 101.325 kPa",10081 - 10102
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range",Reference Conditions @,10081 - 10102
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range",Calibration Fluid : Dry Air,10081 - 10102
