ลำดับ (Item No.),รายละเอียดเครื่องมือ (Description),ช่วงการวัด (Range),ความสามารถการวัด (CMC / Uncertainty),ราคาค่าบริการ (Price),หมายเหตุ (Remark),รหัสบริการ (Code),ฝ่ายงานจริง (Actual Department),ราคาตัวเลข (Price Numeric),ฝ่ายงานที่ทำนาย (Predicted Department),รหัสกลุ่มคลัสเตอร์ (Cluster ID),คำสำคัญของกลุ่มคลัสเตอร์ (Cluster Keywords)
9.0,"Rectangular Gauge Block, 
Material : Steel",0.5 mm to 125 mm,"Q[26 nm, 0.35E-6 L]","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101,Dimensional Metrology Department,2000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
10.0,"Rectangular Gauge Block,
Material : Ceramic",0.5 mm to 125 mm,"Q[26 nm, 0.29E-6 L]
","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101,Dimensional Metrology Department,2000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
16.0,"Rectangular Gauge Block,
Material : Chromium Carbide",< 0.5 mm,"Q[26 nm, 0.27E-6 L]","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
13.0,"Rectangular Gauge Block,
Material : Steel",< 0.5 mm,"Q[26 nm, 0.35E-6 L]","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
14.0,"Rectangular Gauge Block,
Material : Ceramic",< 0.5 mm,"Q[26 nm, 0.29E-6 L]
","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
15.0,"Rectangular Gauge Block,
Material : Tungsten Carbide",< 0.5 mm,"Q[26 nm, 0.18E-6 L]
","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102,Dimensional Metrology Department,3000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
17.0,"Rectangular Gauge Block,          
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide
- Variation in length",0.5 mm to 125 mm,0.020 um,"2,200/piece                   ","Optical Interferometry method, 
Variation (fo, fu) in length measurement. Measuring faces inspection without lapping. ",08021 - 10103,Dimensional Metrology Department,2200.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
18.0,"Rectangular Gauge Block,          
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide
- Flatness",0.5 mm to 125 mm,35 nm ,"2,200/piece                   ","Optical Interferometry method, 
Flatness measurement",08021 - 10104,Dimensional Metrology Department,2200.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
19.0,"Rectangular Gauge Block, according to  
Euramet cg-2/v.02 (03/2011)",0.5 mm to 100 mm,26 nm,"2,500/piece         ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping.  Both side wringing",08021 - 10201,Dimensional Metrology Department,2500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
20.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Tungsten Carbide, Chromium Carbide   
- Deviation from central length",0.5 mm to 100 mm,"Q[50 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10301,Dimensional Metrology Department,750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
22.0,"Rectangular and Square Gauge Block (Metric),               
Material : Ceramic   
- Deviation from central length",0.5 mm to 100 mm,"Q[70 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10301,Dimensional Metrology Department,750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
21.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Tungsten Carbide, Chromium Carbide   
- Deviation from central length",>100 mm to 125 mm,"Q[50 nm, 0.50E-06 L]","3,030/piece","Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10302,Dimensional Metrology Department,3030.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
23.0,"Rectangular and Square Gauge Block (Metric),               
Material : Ceramic   
- Deviation from central length",>100 mm to 125 mm,"Q[70 nm, 0.50E-06 L]","3,030/piece","Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10302,Dimensional Metrology Department,3030.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
24.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide   
- Difference in central length",0.01 - 25 mm,47 nm,"1,905/pair","Direct Measurement by gauge block comparator, Difference in central length, variation in length and measuring face inspection without lapping.",08021 - 10303,Dimensional Metrology Department,1905.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
26.0,"Rectangular and Square Gauge Block (inch),  
- Deviation from central length 
Material : Ceramic",0.005  inch to 4 inch,"Q[70 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc,  Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping    ",08021 - 10501,Dimensional Metrology Department,750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
25.0,"Rectangular and Square Gauge Block (inch),  
- Deviation from central length        
Material : Steel, Tungsten Carbide, Chromium Carbide",0.005  inch to 4 inch,"Q[50 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc,  Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping    ",08021 - 10501,Dimensional Metrology Department,750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
27.0,"Long Gauge Block (Metric Rectangular, Square)
Material : Steel",125 mm to 500 mm,"Q[50 nm, 0.80E-6 L]","3,380/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection without lapping.",08021 - 10601,Dimensional Metrology Department,3380.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
28.0,"Long Gauge Block (Metric Rectangular, Square)
Material : Steel",600 mm to 1000 mm,"Q[50 nm, 0.80E-6 L]","6,750/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection without lapping.",08021 - 10603,Dimensional Metrology Department,6750.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
29.0,Length Bar,Up to 800 mm,"Q[50 nm, 0.80E-6 L]","3,380/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection.",08021 - 10701,Dimensional Metrology Department,3380.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
30.0,Ball Bar / Nest Bar,up to 800 mm,1.2 ?m,"3,780/piece",Direct measurement by ULM and laser interferometer,08021 - 10703,Dimensional Metrology Department,3780.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
31.0,"Long Gauge Block (Metric Rectangular)
Material : Steel",>150 mm to 500 mm,"Q[20 nm, 0.44E-6 L]","10,000/piece","Optical Interferometry method, Deviation from central length Measuring faces inspection and lapping. Both side wringing",08021 - 10801,Dimensional Metrology Department,10000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
32.0,"Long Gauge Block (Metric Rectangular)
Material : Steel",600 mm to 1000 mm,"Q[20 nm, 0.44E-6 L]","15,000/piece","Optical Interferometry method, Deviation from central length Measuring faces inspection and lapping.  Both side wringing",08021 - 10802,Dimensional Metrology Department,15000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
33.0,"Square Gauge Block
Material : Steel",0.5 mm to 125 mm,"Q[28 nm, 0.35E-6 L]","1,730/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 11001,Dimensional Metrology Department,1730.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
34.0,Step Master ; Material : Steel,Up to 300 mm,0.028 mm,12500,"Optical Interferometry method, Length difference",08021 - 11101,Dimensional Metrology Department,12500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
35.0,Step Master ; Material : Ceramic,Up to 300 mm,0.030 mm,12500,"Optical Interferometry method, Length difference",08021 - 11102,Dimensional Metrology Department,12500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
194.0,Gauge Block Comparator,0.5 mm to 100 mm,37 nm,"25,000/piece","Cal. by 11 Gauge Blocks 0.5 to 100 mm
Euramet cg-2/v.02 (03/2011)                                       ",08021 - 30801,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
184.0,Universal Length Measuring Machine (ULM),Up to 500 mm,"Q[0.050 um, 0.80E-6 L]","30,000/piece (10 points) + 1,000/point",Direct measurement with gauge block ,08021 - 30901,Dimensional Metrology Department,30000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
185.0,Universal Length Measuring Machine (ULM),>500 mm to 1000 mm,"Q[0.060 um, 0.80E-6 L]","30,000/piece (10 points) + 1,000/point",Direct measurement with gauge block ,08021 - 30901,Dimensional Metrology Department,30000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
186.0,Universal Length Measuring Machine (ULM),Up to 2000 mm,"Q[0.040 um, 0.40E-6 L]","40,000/piece (10 points) + 1,000/point",Direct measurement with Laser Interferometer ,08021 - 30902,Dimensional Metrology Department,40000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
36.0,"Autocollimator (Analog, Digital)","± 1000""","0.2""","25,000/piece",Calibration by standard autocollimator,08031 - 10101,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,5,"digital, dna, analog, plasmid, dial"
37.0,"Autocollimator (Analog, Digital)","± 1500""","0.15""","25,000/piece",Calibration by Self calibration angle system,08031 - 10103,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,5,"digital, dna, analog, plasmid, dial"
38.0,Rotary Encoder,0 - 360 degree,"0.06""","25,000/piece",Calibration by self calibration angle system (SCMS-127),08031 - 10201,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
39.0,Rotary Encoder,0 - 360 degree,"0.11""","25,000/piece",Calibration by self calibration angle system (SCMS-107),08031 - 10202,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
40.0,Rotary Encoder,0 - 360 degree,"7""","25,000/piece",Calibration by self calibration angle system,08031 - 10203,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
41.0,Polygon,3 to 72 faces,"0.2""","1,000/face",Calibration by one autocollimator ,08031 - 10301,Dimensional Metrology Department,1000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
42.0,Polygon,3 to 72 faces,"0.25""",750/face,Calibration by  two autocollimator ,08031 - 10305,Dimensional Metrology Department,750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
43.0,Polygon,3 to 72 faces,"0.2""","1,000/face",Calibration by self calibration rotray encoder system,08031 - 10309,Dimensional Metrology Department,1000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
44.0,Angle Gauge Block,up to 90o,"0.33""","1,500/piece",Calibration by autocalimator,08031 - 10401,Dimensional Metrology Department,1500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
45.0,Indexing Table,0o to 360o,"0.2""","1,000/position",Calibration by  one autocollimator ,08031 - 10501,Dimensional Metrology Department,1000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
46.0,Electronic Inclinometer,"±1000"" ","0.35""","15,000/range",Calibration by autocollimator,08031 - 10901,Dimensional Metrology Department,15000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
47.0,Electronic Level,±60o,0.002o,"5,000",Calibration by rotary encorder,08031 - 10902,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
195.0,Precision Level,Full range,5.4 mm/m,"5,630/piece",Calibration by autocollimator,08031 - 11001,Dimensional Metrology Department,5630.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
48.0,Cylindrical Square,Up to 400 mm,2.3 ?m,"5,000/side",Calibration by Master Square,08031 - 11101,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
49.0,Standard Square,Up to 400 mm,2.3 µm,"5,000/side",Calibration by Master Square and Measuring Probe,08031 - 11201,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,4,"standard, solution, mass, set, ph"
50.0,Squareness Tester,Up to 400 mm,2.0 µm,"5,000",Calibration by Master Square,08031 - 11301,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
51.0,Precision Square,Up to 400 mm,2.5 ?m,"5,000",Calibration by Master Square & Gauge Blocks,08031 - 11401,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
196.0,Bevel protractor,0° to 360°,1.3',5000,Cal. By angle gauge block,08031 - 11501,Dimensional Metrology Department,5000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
52.0,Square and Squareness Tester,Up to 1000 mm,0.4 µm,"10,000 (For up to 10 points) + 1,000/point",Calibration by using reversal method,08031 - 11501,Dimensional Metrology Department,10000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
53.0,Small Angle Generator,"?5,000 ?m/m",2 ?m/m,15000,Calibration by autocollimator,08031 - 11901,Dimensional Metrology Department,15000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
54.0,Sine Bar,up to 45o,0.0021o,5000,Calibration by Gauge Blocks and Angle Gauge Blocks,08031 - 12001,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
55.0,Straightedge,up to 1000 mm,1.0 ?m,"5,000",Calibration straighness measuring machine,08031 - 12201,Dimensional Metrology Department,5000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
56.0,Straightness Measuring Machine,"up to 2,500 mm",(1.6E-3 L) ?m,"5,000",Calibration by standard autocollimator,08031 - 12202,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
57.0,Straightness Measuring Machine and Straightedge,up to 3000 mm,0.7 ?m,"10,000/m",Calibration by using reversal method,08031 - 12203,Dimensional Metrology Department,10000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
197.0,Surface plate,"250x160 mm to 2,500x1,600 mm",0.5 to 5.5 um,"15,000",Cal by Inclinometer,08031 - 12301,Dimensional Metrology Department,15000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
187.0,Rotary encoder,0-360 degree,"5""","30,000",Comparative measurement using reference encoder,08031 - 30201,Dimensional Metrology Department,30000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
58.0,Plain Ring Gauge,0.1 to 100 mm,"Q[0.37 µm, 1.3E-06 D]","2,410/piece",Calibration by Small Internal Diameter Measurement (IDM),08041 - 10101,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
59.0,Plain Ring Gauge,0.5 mm to 300 mm,"Q[0.25 µm, 1.8E-06 D]","4,410/piece",Compare measurement method with setting plain ring gauge,08041 - 10102,Dimensional Metrology Department,4410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
60.0,Plain Ring Gauge (Hole),2.5 mm - 160 mm,1.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 10103,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
61.0,Go - No Go Plain Ring Gauge,0.1 to 100 mm,"Q[0.37 µm, 1.3E-06 D]","2,410/side",Calibration by Small Internal Diameter Measurement (IDM),08041 - 10201,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
62.0,Taper Plain Ring Gauge,Pitch 0.45 mm to 8 mm,2.0 µm,"2,410/piece",Cal. by Universal length measuring Machine,08041 - 10301,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
63.0,Go - No Go Taper Plain Ring Gauge,Pitch 0.45 mm to 8 mm,2.0 µm,"2,410/side",Cal. by Universal length measuring Machine,08041 - 10401,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
64.0,Plain Plug Gauge,0.1 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10501,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
65.0,Plain Plug Gauge (Shaft),1 mm - 150 mm,1.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 10502,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
66.0,Go-No Go Plain Plug Gauge,0.1 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/side",Cal. by Universal length measuring Machine ,08041 - 10601,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
198.0,Pin Gauge,0.1 to 1 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10701,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
199.0,Pin Gauge,1 to 100 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10702,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
200.0,Pin Gauge,100 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10703,Dimensional Metrology Department,2410.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
67.0,Sphere,dia. Up to 300 mm,"Q[0.20 µm, 1.0E-06 D]","2,410/piece",Cal. by Universal length measuring Machine,08041 - 10801,Dimensional Metrology Department,2410.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
68.0,3-Wire Unit,All sizes,"Q[0.20 µm, 1.0E-06 D] ","2,820/set",Cal. by Universal length measuring Machine,08041 - 10901,Dimensional Metrology Department,2820.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
69.0,Taper Plain Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11501,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
70.0,Parallel Thread Ring Gauge,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11701,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
71.0,Parallel Thread Ring Gauge,2.5 mm - 160 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 11702,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
72.0,Go - No Go Parallel Thread Ring Gague,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11801,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
73.0,Taper Thread Ring Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11901,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
74.0,Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12101,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
75.0,Parallel Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12102,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
76.0,Go - No Go Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12201,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
77.0,Taper Thread Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 12301,Dimensional Metrology Department,3500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
78.0,Taper Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12302,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
79.0,Taper Thread Ring Gauge,2.5 mm - 160 mm,2.5 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12303,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
80.0,Pitch,0.1 mm - 20 mm,1 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12304,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
81.0,Thread Angle,7° - 180°,0.12°,"5,000/piece",Contact scanning with measuring probe ,08041 - 12305,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
82.0,Taper,0 - 0.5,0.0024,"5,000/piece",Contact scanning with measuring probe ,08041 - 12306,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
83.0,Pitch of thread gauge,0 mm to 120 mm,2.3 µm,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12501,Dimensional Metrology Department,2030.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
84.0,X-Axis Contour Measuring Machine,0 mm to 120 mm,1.3 µm,"10,030/piece",Compare with standard glass scale,08041 - 12502,Dimensional Metrology Department,10030.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
85.0,Included angle of thread gauge,0-90 degree,0.06 degree,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12601,Dimensional Metrology Department,2030.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
86.0,"Contour specimen
- x-axis (pitch)",up to 200 mm,2.3 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12701,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
87.0,"Contour specimen
- z-axis (step, height)",up to 20 mm,1.6 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12702,Dimensional Metrology Department,5000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
201.0,Height Master (analog/digital),0 to 300 mm,0.3 mm + 3E-6 L,"13,500/piece",Cal. by Gauge block or Length Bar,08051 - 10101,Dimensional Metrology Department,13500.0,Dimensional Metrology Department,5,"digital, dna, analog, plasmid, dial"
202.0,Height Master (analog/digital),0 to 600 mm,0.3 mm + 3E-6 L,"22,500/piece",Cal. by Gauge block or Length Bar,08051 - 10102,Dimensional Metrology Department,22500.0,Dimensional Metrology Department,5,"digital, dna, analog, plasmid, dial"
88.0,Check Master/ Step Gauge,0 to 300 mm,"Q[0.20 µm, 7.7E-06 L]","10,660/piece",Cal. By Laser Interferometer,08051 - 10201,Dimensional Metrology Department,10660.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
89.0,Check Master/ Step Gauge,0 to 600 mm,"Q[0.20 µm, 7.7E-06 L]","13,160/piece",Cal. By Laser Interferometer,08051 - 10202,Dimensional Metrology Department,13160.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
