ลำดับ,ส่วนราชการ,เบอร์โทรศัพท์,หมายเลขโทรสาร,หมายเหตุ
146,สำนักงานสรรพกรพื้นที่ระนอง,"0-7781-2372, 0-7782-3019",0-7781-2347,
147,สำนักงานสรรพกรพื้นที่สุราษฎร์ธานี 1," 0-7728-1873,0-7728-7488",0-77284414,
148,สำนักงานสรรพกรพื้นที่สุราษฎร์ธานี 2,0-7742-3961, 0-7742-3961 ต่อ 211 ,
,สำนักงานสรรพกรภาค 12,,,
149,สำนักงานสรรพกรพื้นที่ตรัง,"0-7521-8217 ,0-75210733,0-7521-6826",0-7521-1475,
150,สำนักงานสรรพกรพื้นที่นราธิวาส,"0-7353-2001,0-7353-2002,0-7353-2004,0-7353-1001-4",0-7353-2006,
151,สำนักงานสรรพกรพื้นที่ปัตตานี,0-7333-1095,0-7334-9980,
152,สำนักงานสรรพกรพื้นที่พัทลุง,"0-7461-3018, 0-7461-1638 ,0-7461-3329",0-7461-2409,
153,สำนักงานสรรพกรพื้นที่ยะลา,"0-7321-4206, 0-7322-2006 ",0-7321-2012,
154,สำนักงานสรรพกรพื้นที่สงขลา 1,0-7422-2100,0-7422-2130,
155,สำนักงานสรรพกรพื้นที่สงขลา 2,0-7427-3800 ,0-7427-3845,
156,สำนักงานสรรพกรพื้นที่สตูล,"0-7471-1075, 0-7472-1054",0-7472-1363,
