ลำดับที่,วงเงินช่วยเหลือ,หน่วย,วันที่เกิดภัย,วันที่สิ้นสุดภัย,ที่เกิดภัยธรรมชาติ,ผู้ประสบภัย,ผู้ได้รับการช่วยเหลือ,อยู่ระหว่างดำเนินการ,หน่วยวัด,ที่มา
13,"5,243.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.นาโหนด,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
14,"35,676.74",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ตำนาน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
15,"449,987.02",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.พญาขัน,65,65,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
16,"2,341.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ปรางหมู่,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
17,"3,445.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.เขาชัยสน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
18,"14,648.10",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.หานโพธิ์,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
19,"1,310.96",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
20,"24,674.14",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.โคกม่วง,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
21,"106,076.10",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.แม่ขรี,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
22,"63,509.40",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ตะโหมด,37,37,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
23,"52,559.18",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.คลองใหญ่,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
24,"60,750.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.แม่ขรี,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
25,"177,740.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ตะโหมด,34,34,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
26,"92,830.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.คลองใหญ่,17,17,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
27,"2,341.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.มะกอกเหนือ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
28,889.58,บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
29,"1,030.04",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
30,"9,364.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.โตนดด้วน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
31,"4,682.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.นาขยาด,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
32,"264,000.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ทะเลน้อย,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
33,"116,000.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.พนางตุง,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
34,"37,400.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.มะกอกเหนือ,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
35,"117,915.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ฝาละมี,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
36,"4,682.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.หารเทา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
37,"35,000.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ลำปำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
38,"59,500.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ชัยบุรี,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
39,"7,023.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ท่ามะเดื่อ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
40,"3,136.94",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.นาปะขอ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
41,"1,200.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.นาปะขอ,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
42,"17,276.58",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ป่าบอน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
43,"3,511.50",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.โคกทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
44,"3,511.50",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.คลองใหญ่,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
45,"52,595.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.จองถนน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
46,"31,993.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.หานโพธิ์,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
47,"73,030.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ควนขนุน,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
48,"121,286.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ลำปำ,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
49,"37,444.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.พญาขัน,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
50,"3,960.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ชัยบุรี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
51,"18,760.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ตำนาน,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
52,"32,100.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ปรางหมู่,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
53,"4,020.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.เขาเจียก,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
54,"4,690.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.กงหรา,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
55,"30,611.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ชะรัด,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
56,"13,365.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.แม่ขรี,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
57,"59,854.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ตะโหมด,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
58,"34,148.45",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.คลองใหญ่,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
59,"302,165.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.แหลมโตนด,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
60,"316,273.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ปันแต,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
61,"296,992.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ดอนประดู่,38,38,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
62,"1,012.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ฝาละมี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
63,"229,473.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.หารเทา,43,43,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
64,"25,460.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ดอนทราย,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
65,"2,010.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ท่ามะเดื่อ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
66,"121,081.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.นาปะขอ,20,20,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
67,"1,012.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ป่าบอน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
68,"148,204.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ทะเลน้อย,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
69,"273,644.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.พนางตุง,29,29,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
70,"104,855.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.มะกอกเหนือ,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
71,"8,096.00",บาท,21-ธ.ค.-65,5-ม.ค.-66,ต.เกาะนางคำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
72,"311,370.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.เกาะนางคำ,19,19,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
73,"140,000.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.เกาะหมาก,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
74,"121,500.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ท่ามะเดื่อ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
75,"70,490.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.นาปะขอ,11,11,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
76,"38,000.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.โคกสัก,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
77,"212,225.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ดอนประดู่,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
78,"212,225.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ดอนประดู่,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
79,"6,030.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.บ้านพร้าว,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
80,"845,726.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.เกาะหมาก,35,35,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
81,"640,036.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ฝาละมี,45,45,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
82,"2,341.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
83,"2,341.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ดอนประดู่,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
84,"60,410.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองเฉลิม,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
85,"13,200.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.หานโพธิ์,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
86,"20,000.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
87,"38,500.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองทรายขาว,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
88,"28,336.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ฝาละมี,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
89,"115,352.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.หารเทา,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
90,"81,169.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ดอนทราย,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
91,"79,214.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ตะโหมด,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
92,"7,040.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.แม่ขรี,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
93,"15,466.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองใหญ่,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
94,"24,455.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ท่ามะเดื่อ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
95,"34,774.14",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ท่ามะเดื่อ,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
96,"83,094.18",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองใหญ่,51,51,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
97,"84,938.94",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ตะโหมด,36,36,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
98,"589,733.06",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.แม่ขรี,41,41,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
99,"5,096,048.50",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.เกาะนางคำ,154,154,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
100,"9,408.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.เขาชัยสน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
101,"50,360.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.เขาชัยสน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
102,"60,314.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.จองถนน,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
103,"174,298.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.นาปะขอ,19,19,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
104,"2,024.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.โคกสัก,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
105,"106,836.68",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.นาปะขอ,15,15,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
106,"55,475.14",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.โคกสัก,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
107,"154,560.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ปากพะยูน,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
108,"35,115.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.หารเทา,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
109,"30,466.70",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.เขาชัยสน,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
110,842.76,บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.จองถนน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
111,"51,161.14",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.โคกม่วง,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
112,"13,477.60",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ควนขนุน,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
113,"37,770.62",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.หานโพธิ์,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
114,"16,808.38",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ชะรัด,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
115,"28,553.64",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองเฉลิม,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
116,"111,700.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.คลองใหญ่,16,16,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
117,"222,920.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.ตะโหมด,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
118,"151,100.00",บาท,18-ธ.ค.-65,5-ม.ค.-66,ต.แม่ขรี,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
119,"167,180.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ปากพะยูน,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
120,"160,400.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ดอนประดู่,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
121,"191,110.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ดอนทราย,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
122,"660,810.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.ฝาละมี,35,35,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
123,"539,170.00",บาท,18-ธ.ค.-65,11-ม.ค.-66,ต.หารเทา,55,55,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
124,"327,060.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.โคกทราย,36,36,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
125,"13,811.90",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ทุ่งนารี,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
126,"110,190.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ทุ่งนารี,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
127,"82,700.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.หนองธง,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
128,"245,500.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.วังใหม่,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
129,"706,660.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ป่าบอน,24,24,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
130,"118,488.94",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ป่าบอน,46,46,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
131,"23,269.54",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.หนองธง,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
132,"71,914.74",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.วังใหม่,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
133,"10,715.22",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.โคกทราย,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
134,"128,305.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.วังใหม่,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
135,"5,066.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.หนองธง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
136,"3,960.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ทุ่งนารี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
137,"67,335.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.โคกทราย,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
138,"43,229.00",บาท,17-ธ.ค.-65,5-ม.ค.-66,ต.ป่าบอน,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
139,"8,040.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.มะกอกเหนือ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
140,"5,618.40",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
141,"48,813.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ลำปำ,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
142,"295,800.00",บาท,5-ธ.ค.-65,17-ม.ค.-66,ต.พนางตุง,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
143,"229,000.00",บาท,5-ธ.ค.-65,17-ม.ค.-66,ต.ทะเลน้อย,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
144,"61,755.58",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ชัยบุรี,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
145,"25,000.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ท่ามิหรำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
146,"100,250.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ลำปำ,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
147,"3,000.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.โคกชะงาย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
148,"10,000.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.นาโหนด,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
149,"22,892.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.พนางตุง,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
150,"38,525.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ปรางหมู่,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
151,"3,277.40",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.พนางตุง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
152,"155,776.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ปันแต,15,15,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
153,"168,516.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.แหลมโตนด,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
154,"6,030.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.พนมวังก์,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
155,"292,203.62",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.พญาขัน,51,51,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
156,"15,263.32",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.มะกอกเหนือ,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
157,"194,771.20",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ลำปำ,31,31,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
158,"3,685.00",บาท,5-ธ.ค.-65,5-ม.ค.-66,ต.ตำนาน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
159,"5,360.00",บาท,18-พ.ย.-65,28-พ.ย.-65,ต.มะกอกเหนือ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
160,"2,010.00",บาท,18-พ.ย.-65,28-พ.ย.-65,ต.แพรกหา,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
161,"171,855.00",บาท,5-พ.ย.-65,28-พ.ย.-65,ต.ดอนประดู่,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
162,"40,535.00",บาท,5-พ.ย.-65,28-พ.ย.-65,ต.หารเทา,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
163,"2,345.00",บาท,5-พ.ย.-65,28-พ.ย.-65,ต.ดอนทราย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
164,"29,440.00",บาท,5-พ.ย.-65,23-พ.ย.-65,ต.ฝาละมี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
