จังหวัด,เกษตรกรผู้เลี้ยงสัตว์ทั้งหมด(ครัวเรือน),โคพื้นเมืองเพศผู้(ตัว),โคพื้นเมืองเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพื้นเมืองเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงโคพื้นเมือง(ครัวเรือน),โคพันธุ์และโคลูกผสมเพศผู้(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพันธุ์และโคลูกผสม(ตัว),เกษตรกรผู้เลี้ยงโคพันธุ์และโคลูกผสม(ครัวเรือน),โคขุน(ตัว),เกษตรกรผู้เลี้ยงโคขุน(ครัวเรือน),โคเนื้อทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคเนื้อทั้งหมด(ครัวเรือน),โคนมเพศผู้(ตัว),โคนมเพศเมียแรกเกิดถึง 1 ปี (ตัว),โคนมเพศเมีย1 ปี ถึงตั้งท้องแรก (ตัว),โคนมเพศเมียกำลังรีดนม(ตัว),โคนมเพศเมียแห้งนม(ตัว),รวมโคนมเพศเมีย(ตัว),รวมโคนมทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคนมทั้งหมด(ครัวเรือน),กระบือเพศผู้(ตัว),กระบือเพศเมียแรกเกิดถึงกระบือสาว(ตัว),กระบือเพศเมียตั้งท้องแรกขึ้นไป(ตัว),กระบือเพศเมียทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงกระบือ(ครัวเรือน),สุกรพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงสุกรพื้นเมือง(ครัวเรือน),สุกรพ่อพันธุ์(ตัว),สุกรแม่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงสุกรพันธุ์(ครัวเรือน),สุกรขุน(ตัว),ลูกสุกรขุน(ตัว),เกษตรกรผู้เลี้ยงสุกรขุน(ครัวเรือน),สุกรทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงสุกรทั้งหมด(ตัว),ไก่พื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงไก่พื้นเมือง(ครัวเรือน),ไก่เนื้อ(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อ(ครัวเรือน),ไก่ไข่(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่(ครัวเรือน),ไก่เนื้อพันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อพันธุ์(ครัวเรือน),ไก่ไข่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่พันธุ์(ครัวเรือน),ไก่ทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงไก่ทั้งหมด(ครัวเรือน),เป็ดเทศ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเทศ(ครัวเรือน),เป็ดเนื้อ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อ(ครัวเรือน),เป็ดไข่(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่(ครัวเรือน),เป็ดเนื้อไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อไล่ทุ่ง(ครัวเรือน),เป็ดไข่ไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่ไล่ทุ่ง(ครัวเรือน),เป็ดทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงเป็ดทั้งหมด(ครัวเรือน),แพะเนื้อเพศผู้(ตัว),แพะเนื้อเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะเนื้อ(ครัวเรือน),แพะนมเพศผู้(ตัว),แพะนมเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะนม(ครัวเรือน),แพะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแพะทั้งหมด(ครัวเรือน),แกะเพศผู้(ตัว),แกะเพศเมีย(ตัว),แกะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแกะทั้งหมด(ครัวเรือน),ลา(ตัว),เกษตรกรผู้เลี้ยงลา(ครัวเรือน),ล่อ(ตัว),เกษตรกรผู้เลี้ยงล่อ(ครัวเรือน),ช้าง(ตัว),เกษตรกรผู้เลี้ยงช้าง(ครัวเรือน),ม้า(ตัว),เกษตรกรผู้เลี้ยงม้า(ครัวเรือน),ห่าน(ตัว),เกษตรกรผู้เลี้ยงห่าน(ครัวเรือน),ไก่งวง(ตัว),เกษตรกรผู้เลี้ยงไก่งวง(ครัวเรือน),นกกระทาพันธุ์เนื้อ(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์เนื้อ(ครัวเรือน),นกกระทาพันธุ์ไข่(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์ไข่(ครัวเรือน),นกกระจอกเทศ(ตัว),เกษตรกรผู้เลี้ยงนกกระจอกเทศ(ครัวเรือน),นกอีมู(ตัว),เกษตรกรผู้เลี้ยงนกอีมู(ครัวเรือน),กวาง(ตัว),เกษตรกรผู้เลี้ยงกวาง(ครัวเรือน),อูฐ(ตัว),เกษตรกรผู้เลี้ยงอูฐ(ครัวเรือน),หมูป่า(ตัว),เกษตรกรผู้เลี้ยงหมูป่า(ครัวเรือน),นก/สัตว์ปีกสวยงาม(ตัว),เกษตรกรผู้เลี้ยงนก/สัตว์ปีกสวยงาม(ครัวเรือน),สัตว์ปีกอื่นๆ(ตัว),เกษตรกรผู้เลี้ยงสัตว์ปีกอื่นๆ(ครัวเรือน)
จันทบุรี,15264,263,683,695,1641,181,95,260,366,721,127,54,3,2416,292,4,340,805,1131,257,2533,2537,70,96,115,301,512,28,83,11,182,10778,42,51320,1094,110,63457,132,233465,8228,1129920,84,165158,381,686507,40,35298,8,2250348,8576,6098,216,22874,98,4454,90,120,1,,,33546,375,21,41,6,,1,1,63,6,3,6,9,3,2,1,,,2,1,40,10,56,11,4,2,15306,6,34939,8,1,1,,,6,1,,,125,21,426,97,1483,577
ตราด,9698,33,124,10,167,23,421,339,366,1126,174,272,14,1565,210,,,,,,,,,272,223,209,704,111,2,2,31,541,12,56307,2895,111,59776,114,112215,4567,357485,49,86845,158,,,20,1,556565,4712,2520,137,3769,58,10434,114,,,,,16723,297,151,398,36,4,19,2,572,38,11,53,64,9,,,,,,,7,4,22,9,46,4,,,2000,1,,,,,49,1,50,1,265,23,1275,252,3207,256
ฉะเชิงเทรา,21221,3025,3147,949,7121,827,3001,4477,5447,12925,1839,182,44,20228,2606,3,48,37,59,16,160,163,7,827,1104,949,2880,344,1352,30,3314,57025,92,191043,44824,304,297558,371,520682,13672,6556990,558,7134791,436,8769,14,1503800,58,15725032,14349,27518,1499,1406094,702,160697,1230,103327,49,68165,23,1765801,2826,1003,1809,163,97,256,25,3165,181,282,566,848,39,8,2,,,,,199,16,19167,440,786,110,28,5,8114,13,,,,,,,,,4,2,8357,910,2889,196
ปราจีนบุรี,17956,3086,3834,978,7898,924,860,786,1303,2949,320,17,10,10864,1207,,2,6,3,3,14,14,3,2054,1959,1806,5819,596,34,9,770,62111,67,166489,12578,244,241982,292,797850,12067,16701146,463,2181647,233,1179544,21,83024,6,20943211,12702,11277,350,398850,57,9666,422,450,4,655,6,420898,719,55,91,8,92,167,6,405,13,,,,,,,,,,,22,6,275,53,400,1,,,,,,,,,,,,,4,2,2,1,1083,309
นครนายก,16080,1242,3084,2756,7082,795,141,296,175,612,48,,,7694,843,,,,58,,58,58,1,2218,3472,2730,8420,835,1242,51,935,6856,36,44008,1100,22,54141,80,215410,10041,2445541,697,6340551,1188,180087,12,40011,2,9221600,11524,70386,902,323018,305,5311,313,,,33104,5,431819,1450,107,386,22,10,11,2,514,22,9,33,42,3,,,,,,,51,10,425,71,32,5,,,30000,1,40,1,,,,,,,,,183,25,77,7
สระแก้ว,34928,7919,10876,8136,26931,2831,1669,2386,2488,6543,819,148,16,33622,3510,162,5200,4421,9778,2605,22004,22166,675,1936,2761,1902,6599,800,1708,333,238,6085,305,46964,21047,1263,76042,1650,801340,28209,1006801,303,229181,1841,230113,48,117,15,2267552,28719,76954,5080,468047,157,11100,768,176,10,77,6,556354,5701,724,1741,53,33,31,5,2529,58,47,152,199,5,,,,,,,7,2,464,117,158,17,15,4,1000,1,3,2,,,61,3,,,188,39,410,140,45,14
นครราชสีมา,207293,37773,63493,30945,132211,21603,20862,42364,29650,92876,11971,1523,211,226610,32436,3640,16140,16877,33771,6739,73527,77167,2381,8842,15261,7358,31461,5308,22455,2492,2815,45545,2501,268707,213522,4736,553044,7881,3793843,146962,26381757,3785,449466,4696,4314926,2684,392160,1860,35332152,150691,124763,9483,1063572,2380,192733,7014,45442,487,294247,336,1720757,17327,2783,7551,293,129,494,17,10957,306,99,526,625,25,4,4,2,1,,,362,40,3488,719,3701,346,15536,57,48828,44,54,4,19,4,120,4,4,2,640,127,5519,1376,2099,533
บุรีรัมย์,107813,43135,45421,48748,137304,29487,8221,16278,11294,35793,8005,223,87,173320,36189,174,895,1020,1780,292,3987,4161,107,16669,24107,23509,64285,14396,7262,1047,1824,14819,1794,73167,29993,4689,127065,6264,2332271,84902,6569581,851,168581,2086,17627,247,19475,432,9107535,86010,83897,7397,48710,692,121558,13948,1522,45,4431,41,260118,20136,241,487,30,5,,2,733,32,4,2,6,3,2,2,1,1,,,5,4,997,202,311,46,11,6,10047,5,8,2,2,1,,,,,337,76,1326,312,240,81
สุรินทร์,108086,43449,78901,50489,172839,44414,13482,20367,9986,43835,14594,518,186,217192,51981,84,287,273,243,136,939,1023,124,23688,39751,21464,84903,24565,13945,3475,1794,7012,2256,33610,15399,4596,71760,8553,1771742,83465,686049,1186,115690,8999,1178,187,11544,1874,2586203,85756,139663,12629,8583,790,124897,10217,549,61,737,64,274429,20684,55,158,21,23,54,5,290,26,4,16,20,1,,,,,108,63,72,28,829,203,563,84,303,24,30122,8,,,1,1,34,5,,,170,47,889,260,419,161
ศรีสะเกษ,103207,54758,75984,44071,174813,43137,7620,12520,10245,30385,8621,830,221,206028,50101,118,491,398,834,128,1851,1969,119,19972,33105,17545,70622,19290,13938,2422,3588,6845,2435,29470,13873,3772,67714,6938,1889073,77116,954245,779,29430,1107,,,,,2872748,77904,282537,19538,9907,720,47985,3503,,,,,340429,22566,56,140,18,20,7,6,223,24,47,31,78,8,26,3,,,,,42,19,1144,282,901,111,30,10,5545,12,2,1,1,1,6,3,,,767,179,1097,321,228,73
อุบลราชธานี,102915,58089,72214,46747,177050,46273,6164,9771,8938,24873,8664,508,340,202431,51938,11,46,73,103,22,244,255,23,23536,31653,19471,74660,22586,29024,4173,4261,10984,2737,63171,23775,2906,131215,7446,3225772,77181,2452197,1996,944879,1351,281453,182,229,72,6904530,78480,380304,23869,7370,1069,22728,2169,,,,,410402,25817,42,59,8,,,,101,8,12,3,15,3,,,15,1,10,1,24,12,543,136,404,62,2108,7,6748,17,,,,,,,,,350,41,473,173,515,331
ยโสธร,41274,4391,8337,5082,17810,5300,10261,20415,18844,49520,14890,691,188,68021,19727,,,,,,,,,3391,6224,6508,16123,5221,2270,340,463,2176,578,27363,3303,720,35575,1241,773499,32449,500462,333,11535,768,476,8,210,18,1286182,32832,80548,5661,3082,267,9966,631,30,3,,,93626,6279,7,25,1,,,,32,1,,,,,,,,,,,,,21,5,3,1,106,4,1,1,,,,,21,1,,,,,178,79,70,36
ชัยภูมิ,80724,4663,5593,8576,18832,3451,9248,17529,21402,48179,6757,824,203,67835,10138,90,753,815,2036,411,4015,4105,89,1587,2277,2945,6809,1053,2583,381,2034,21643,3316,123689,35544,4002,185493,5761,2093942,65883,2807876,675,933867,2237,1746,77,111017,40,5948448,66684,128238,8441,337503,929,425083,2619,5748,109,22726,55,919298,11232,717,1779,59,11,22,3,2529,61,65,164,229,9,21,2,,,23,8,40,16,1528,279,2088,196,60,18,17330,9,10,1,,,,,,,231,39,3084,661,618,191
อำนาจเจริญ,26188,3921,9385,6001,19307,6946,5458,9923,8479,23860,6989,276,137,43443,13561,1,5,3,4,2,14,15,3,2104,4385,3090,9579,3396,1982,430,854,2603,1269,9277,7474,1365,22190,2495,547101,18228,350082,425,59028,555,,,,,956211,18833,42523,3111,8354,512,4661,326,,,,,55538,3757,49,20,8,,,,69,8,,,,,,,,,,,54,11,350,126,410,85,2,2,3615,6,,,,,,,,,,,131,41,56,25
บึงกาฬ,19280,2264,3232,2423,7919,1824,1044,2427,2552,6023,1222,35,13,13977,2827,4,56,387,338,185,966,970,1,1961,3216,3069,8246,1462,1796,315,271,1036,200,7913,3136,400,14152,744,603542,16403,1979,69,6903,169,384,4,1030,16,613838,16502,89828,4945,8814,250,9788,220,,,400,1,108830,5129,60,188,27,6,12,3,266,30,11,9,20,3,,,,,,,,,263,41,1215,60,,,,,,,,,,,,,232,26,56,24,15,6
หนองบัวลำภู,22148,1341,2801,3801,7943,1516,1561,2160,3125,6846,1309,190,25,14979,2825,24,178,321,554,52,1105,1129,30,919,1447,1684,4050,914,1199,108,241,2624,584,18064,13557,682,35685,813,713562,19527,253991,71,25205,49,97,2,300,1,993155,19592,97061,5539,197,13,3526,110,,,,,100784,5630,11,36,4,,,,47,4,10,20,30,1,,,5,1,,,40,2,746,173,2293,87,,,,,,,,,,,,,55,9,73,23,124,7
ขอนแก่น,80983,4220,9433,7219,20872,5032,15541,38674,44983,99198,23024,791,152,120861,27019,865,4466,4781,9039,1937,20223,21088,601,4257,9507,9362,23126,4058,3581,473,1465,20470,1560,63325,119686,2556,208527,3474,1788946,63214,1791109,1496,2436677,953,7317,155,285624,78,6309673,64209,167216,10972,100397,2007,103995,1579,1073,68,2090,41,374771,13023,135,559,19,18,50,2,762,21,159,41,200,8,,,,,,,38,26,1292,238,1771,154,11,8,8,4,1,1,1,1,,,,,207,37,707,196,705,49
อุดรธานี,89303,10952,14692,21112,46756,15058,2022,3619,3483,9124,2031,190,74,56070,16740,117,1453,1372,2655,602,6082,6199,184,6603,8976,14095,29674,12344,19649,7802,3290,15003,1103,91392,16481,1336,145815,9378,2069855,79395,446430,790,276689,754,5927,35,1335,68,2800236,79985,335310,24674,9521,787,11937,521,,,,,356768,25316,91,174,20,22,,2,287,22,32,150,182,6,,,,,,,24,7,722,161,1193,102,12,5,3805,4,,,,,10,1,,,223,45,508,111,719,196
เลย,40176,2610,4966,1813,9389,993,4476,7437,6895,18808,2251,12,2,28209,3223,1,333,344,679,171,1527,1528,45,2032,3371,2460,7863,1043,2107,170,1448,4305,652,24169,11523,1043,43552,1266,884037,30368,28225,75,87583,478,124,6,197,8,1000166,30529,160071,8183,185,28,569,43,,,,,160825,8234,107,243,11,,,,350,11,8,30,38,4,,,,,,,52,6,1012,196,2610,231,14,2,60,1,6,1,,,8,1,,,1274,218,307,120,247,49
หนองคาย,31618,6790,9807,5521,22118,3853,2154,3677,3263,9094,1738,110,48,31322,5361,,,,,,,,,2380,3530,3205,9115,2003,2688,288,614,2973,408,33130,3073,478,42478,844,589251,23566,21526,198,825928,577,58,6,80,6,1436843,23950,117783,6421,2224,125,21275,332,360,2,,,141642,6624,225,837,46,1,7,2,1070,48,1,2,3,1,,,,,,,2,1,525,110,892,86,,,,,,,,,,,,,34,5,,,10,1
มหาสารคาม,72842,9367,16182,12904,38453,11692,20067,27497,31104,78668,20365,285,140,117406,31510,166,862,849,1729,294,3734,3900,159,8714,12017,11707,32438,9546,4838,698,1540,5056,1984,37043,9065,2598,57542,4113,1403175,57102,221542,1175,545816,1050,937,25,121,9,2171591,58400,140909,7258,37543,2247,54408,1733,973,39,12551,40,246384,10264,185,431,23,51,127,6,794,27,7,20,27,2,,,,,,,32,13,700,174,1791,214,5,2,870,3,,,,,,,,,8,3,268,76,37,10
ร้อยเอ็ด,89346,33844,51465,33145,118454,29250,14067,23514,28695,66276,19095,430,158,185160,47456,31,84,84,172,43,383,414,7,11176,17961,15578,44715,14048,18534,1754,755,6679,2620,53383,31424,3952,110775,6398,1715079,68327,194521,491,484517,475,4051,41,243,35,2398411,68820,194949,13184,36235,1978,105788,4090,1420,45,2815,11,341207,17525,208,211,22,,,,419,22,11,9,20,2,,,,,,,1,1,968,226,623,114,47,4,76,3,,,,,,,,,549,74,595,177,110,19
